"class","identity","core.name","core.description","com.getmanta.edc.Expression"
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/13 RC","13 RC","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/14 SHORT_NAME","14 SHORT_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/15 SRC_ID","15 SRC_ID","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/2 BIRTH_NAME","2 BIRTH_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/3 BIRTH_PLACE","3 BIRTH_PLACE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/4 BUS_NAME","4 BUS_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/5 CUST_NO","5 CUST_NO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/6 COUNTRY_KEY","6 COUNTRY_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/7 DEATH_DATE","7 DEATH_DATE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/8 DIC","8 DIC","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<164,7>MERGE UPDATE/9 FAMILY_NAME","9 FAMILY_NAME","",""
"com.getmanta.edc.Statement","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT","<180,7>MERGE INSERT","","merge into PARTY_H TARGET_TBL using (
  d
    PARTY_KEY,
    SRC_SYS_ID,
    BIRTH_DATE,
    BIRTH_NAME,
    BIRTH_PLACE,
    BUS_NAME,
    CUST_NO,
    COUNTRY_KEY,
    DEATH_DATE,
    DIC,
    FAMILY_NAME,
    FIRST_NAME,
    GENDER_KEY,
    ICO,
    RC,
    SHORT_NAME,
    SRC_ID
  from PARTY
  minus
  select 
    PARTY_KEY,
    SRC_SYS_ID,
    BIRTH_DATE,
    BIRTH_NAME,
    BIRTH_PLACE,
    BUS_NAME,
    CUST_NO,
    COUNTRY_KEY,
    DEATH_DATE,
    DIC,
    FAMILY_NAME,
    FIRST_NAME,
    GENDER_KEY,
    ICO,
    RC,
    SHORT_NAME,
    SRC_ID
  from PARTY_H
  where VALID_TO = C_FUTURE_DATE  
  ) SRC_TBL
  on (
    TARGET_TBL.PARTY_KEY = SRC_TBL.PARTY_KEY and
    TARGET_TBL.SRC_SYS_ID = SRC_TBL.SRC_SYS_ID and 
    TARGET_TBL.VALID_FROM = P_CURRENT_DATE and
    TARGET_TBL.VALID_TO = C_FUTURE_DATE
    ) 
  when matched then update set 
    TARGET_TBL.BIRTH_DATE = SRC_TBL.BIRTH_DATE,
    TARGET_TBL.BIRTH_NAME = SRC_TBL.BIRTH_NAME,
    TARGET_TBL.BIRTH_PLACE = SRC_TBL.BIRTH_PLACE,
    TARGET_TBL.BUS_NAME = SRC_TBL.BUS_NAME,
    TARGET_TBL.CUST_NO = SRC_TBL.CUST_NO,
    TARGET_TBL.COUNTRY_KEY = SRC_TBL.COUNTRY_KEY,
    TARGET_TBL.DEATH_DATE = SRC_TBL.DEATH_DATE,
    TARGET_TBL.DIC = SRC_TBL.DIC,
    TARGET_TBL.FAMILY_NAME = SRC_TBL.FAMILY_NAME,
    TARGET_TBL.FIRST_NAME = SRC_TBL.FIRST_NAME,
    TARGET_TBL.GENDER_KEY = SRC_TBL.GENDER_KEY,
    TARGET_TBL.ICO = SRC_TBL.ICO,
    TARGET_TBL.RC = SRC_TBL.RC,
    TARGET_TBL.SHORT_NAME = SRC_TBL.SHORT_NAME,
    TARGET_TBL.SRC_ID = SRC_TBL.SRC_ID
  when not matched then insert (
    TARGET_TBL.PARTY_KEY,
    TARGET_TBL.SRC_SYS_ID,
    TARGET_TBL.BIRTH_DATE,
    TARGET_TBL.BIRTH_NAME,
    TARGET_TBL.BIRTH_PLACE,
    TARGET_TBL.BUS_NAME,
    TARGET_TBL.CUST_NO,
    TARGET_TBL.COUNTRY_KEY,
    TARGET_TBL.DEATH_DATE,
    TARGET_TBL.DIC,
    TARGET_TBL.FAMILY_NAME,
    TARGET_TBL.FIRST_NAME,
    TARGET_TBL.GENDER_KEY,
    TARGET_TBL.ICO,
    TARGET_TBL.RC,
    TARGET_TBL.SHORT_NAME,
    TARGET_TBL.SRC_ID,
    TARGET_TBL.VALID_FROM,
    TARGET_TBL.VALID_TO
    ) values (
    SRC_TBL.PARTY_KEY,
    SRC_TBL.SRC_SYS_ID,
    SRC_TBL.BIRTH_DATE,
    SRC_TBL.BIRTH_NAME,
    SRC_TBL.BIRTH_PLACE,
    SRC_TBL.BUS_NAME,
    SRC_TBL.CUST_NO,
    SRC_TBL.COUNTRY_KEY,
    SRC_TBL.DEATH_DATE,
    SRC_TBL.DIC,
    SRC_TBL.FAMILY_NAME,
    SRC_TBL.FIRST_NAME,
    SRC_TBL.GENDER_KEY,
    SRC_TBL.ICO,
    SRC_TBL.RC,
    SRC_TBL.SHORT_NAME,
    SRC_TBL.SRC_ID,
    P_CURRENT_DATE, --VALID_FROM
    C_FUTURE_DATE --VALID_TO 
    )
"
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/1 PARTY_KEY","1 PARTY_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/10 DIC","10 DIC","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/11 FAMILY_NAME","11 FAMILY_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/12 FIRST_NAME","12 FIRST_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/13 GENDER_KEY","13 GENDER_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/14 ICO","14 ICO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/15 RC","15 RC","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/16 SHORT_NAME","16 SHORT_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/17 SRC_ID","17 SRC_ID","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/18 VALID_FROM","18 VALID_FROM","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/19 VALID_TO","19 VALID_TO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/2 SRC_SYS_ID","2 SRC_SYS_ID","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/3 BIRTH_DATE","3 BIRTH_DATE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/4 BIRTH_NAME","4 BIRTH_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/5 BIRTH_PLACE","5 BIRTH_PLACE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/6 BUS_NAME","6 BUS_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/7 CUST_NO","7 CUST_NO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/8 COUNTRY_KEY","8 COUNTRY_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<180,7>MERGE INSERT/9 DEATH_DATE","9 DEATH_DATE","",""
"com.getmanta.edc.Statement","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE","<56,7>MERGE UPDATE","","merge into PARTY_H TARGET_TBL using (
  select
    PARTY_KEY,
    SRC_SYS_ID,
    BIRTH_DATE,
    BIRTH_NAME,
    BIRTH_PLACE,
    BUS_NAME,
    CUST_NO,
    COUNTRY_KEY,
    DEATH_DATE,
    DIC,
    FAMILY_NAME,
    FIRST_NAME,
    GENDER_KEY,
    ICO,
    RC,
    SHORT_NAME,
    SRC_ID
  from PARTY
  minus
  select 
    PARTY_KEY,
    SRC_SYS_ID,
    BIRTH_DATE,
    BIRTH_NAME,
    BIRTH_PLACE,
    BUS_NAME,
    CUST_NO,
    COUNTRY_KEY,
    DEATH_DATE,
    DIC,
    FAMILY_NAME,
    FIRST_NAME,
    GENDER_KEY,
    ICO,
    RC,
    SHORT_NAME,
    SRC_ID
  from PARTY_H
  where VALID_TO = C_FUTURE_DATE  
  ) SRC_TBL
  on (
    TARGET_TBL.PARTY_KEY = SRC_TBL.PARTY_KEY and
    TARGET_TBL.SRC_SYS_ID = SRC_TBL.SRC_SYS_ID and 
    TARGET_TBL.VALID_FROM = P_CURRENT_DATE and
    TARGET_TBL.VALID_TO = C_FUTURE_DATE
    ) 
  when matched then update set 
    TARGET_TBL.BIRTH_DATE = SRC_TBL.BIRTH_DATE,
    TARGET_TBL.BIRTH_NAME = SRC_TBL.BIRTH_NAME,
    TARGET_TBL.BIRTH_PLACE = SRC_TBL.BIRTH_PLACE,
    TARGET_TBL.BUS_NAME = SRC_TBL.BUS_NAME,
    TARGET_TBL.CUST_NO = SRC_TBL.CUST_NO,
    TARGET_TBL.COUNTRY_KEY = SRC_TBL.COUNTRY_KEY,
    TARGET_TBL.DEATH_DATE = SRC_TBL.DEATH_DATE,
    TARGET_TBL.DIC = SRC_TBL.DIC,
    TARGET_TBL.FAMILY_NAME = SRC_TBL.FAMILY_NAME,
    TARGET_TBL.FIRST_NAME = SRC_TBL.FIRST_NAME,
    TARGET_TBL.GENDER_KEY = SRC_TBL.GENDER_KEY,
    TARGET_TBL.ICO = SRC_TBL.ICO,
    TARGET_TBL.RC = SRC_TBL.RC,
    TARGET_TBL.SHORT_NAME = SRC_TBL.SHORT_NAME,
    TARGET_TBL.SRC_ID = SRC_TBL.SRC_ID
  when not matched then insert (
    TARGET_TBL.PARTY_KEY,
    TARGET_TBL.SRC_SYS_ID,
    TARGET_TBL.BIRTH_DATE,
    TARGET_TBL.BIRTH_NAME,
    TARGET_TBL.BIRTH_PLACE,
    TARGET_TBL.BUS_NAME,
    TARGET_TBL.CUST_NO,
    TARGET_TBL.COUNTRY_KEY,
    TARGET_TBL.DEATH_DATE,
    TARGET_TBL.DIC,
    TARGET_TBL.FAMILY_NAME,
    TARGET_TBL.FIRST_NAME,
    TARGET_TBL.GENDER_KEY,
    TARGET_TBL.ICO,
    TARGET_TBL.RC,
    TARGET_TBL.SHORT_NAME,
    TARGET_TBL.SRC_ID,
    TARGET_TBL.VALID_FROM,
    TARGET_TBL.VALID_TO
    ) values (
    SRC_TBL.PARTY_KEY,
    SRC_TBL.SRC_SYS_ID,
    SRC_TBL.BIRTH_DATE,
    SRC_TBL.BIRTH_NAME,
    SRC_TBL.BIRTH_PLACE,
    SRC_TBL.BUS_NAME,
    SRC_TBL.CUST_NO,
    SRC_TBL.COUNTRY_KEY,
    SRC_TBL.DEATH_DATE,
    SRC_TBL.DIC,
    SRC_TBL.FAMILY_NAME,
    SRC_TBL.FIRST_NAME,
    SRC_TBL.GENDER_KEY,
    SRC_TBL.ICO,
    SRC_TBL.RC,
    SRC_TBL.SHORT_NAME,
    SRC_TBL.SRC_ID,
    P_CURRENT_DATE, --VALID_FROM
    C_FUTURE_DATE --VALID_TO 
    )
"
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/1 BIRTH_DATE","1 BIRTH_DATE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/10 FIRST_NAME","10 FIRST_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/11 GENDER_KEY","11 GENDER_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/12 ICO","12 ICO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/13 RC","13 RC","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/14 SHORT_NAME","14 SHORT_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/15 SRC_ID","15 SRC_ID","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/2 BIRTH_NAME","2 BIRTH_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/3 BIRTH_PLACE","3 BIRTH_PLACE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/4 BUS_NAME","4 BUS_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/5 CUST_NO","5 CUST_NO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/6 COUNTRY_KEY","6 COUNTRY_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/7 DEATH_DATE","7 DEATH_DATE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/8 DIC","8 DIC","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<56,7>MERGE UPDATE/9 FAMILY_NAME","9 FAMILY_NAME","",""
"com.getmanta.edc.Statement","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT","<72,7>MERGE INSERT","","merge into PARTY_H TARGET_TBL using (
  select
    PARTY_KEY,
    SRC_SYS_ID,
    BIRTH_DATE,
    BIRTH_NAME,
    BIRTH_PLACE,
    BUS_NAME,
    CUST_NO,
    COUNTRY_KEY,
    DEATH_DATE,
    DIC,
    FAMILY_NAME,
    FIRST_NAME,
    GENDER_KEY,
    ICO,
    RC,
    SHORT_NAME,
    SRC_ID
  from PARTY
  minus
  select 
    PARTY_KEY,
    SRC_SYS_ID,
    BIRTH_DATE,
    BIRTH_NAME,
    BIRTH_PLACE,
    BUS_NAME,
    CUST_NO,
    COUNTRY_KEY,
    DEATH_DATE,
    DIC,
    FAMILY_NAME,
    FIRST_NAME,
    GENDER_KEY,
    ICO,
    RC,
    SHORT_NAME,
    SRC_ID
  from PARTY_H
  where VALID_TO = C_FUTURE_DATE  
  ) SRC_TBL
  on (
    TARGET_TBL.PARTY_KEY = SRC_TBL.PARTY_KEY and
    TARGET_TBL.SRC_SYS_ID = SRC_TBL.SRC_SYS_ID and 
    TARGET_TBL.VALID_FROM = P_CURRENT_DATE and
    TARGET_TBL.VALID_TO = C_FUTURE_DATE
    ) 
  when matched then update set 
    TARGET_TBL.BIRTH_DATE = SRC_TBL.BIRTH_DATE,
    TARGET_TBL.BIRTH_NAME = SRC_TBL.BIRTH_NAME,
    TARGET_TBL.BIRTH_PLACE = SRC_TBL.BIRTH_PLACE,
    TARGET_TBL.BUS_NAME = SRC_TBL.BUS_NAME,
    TARGET_TBL.CUST_NO = SRC_TBL.CUST_NO,
    TARGET_TBL.COUNTRY_KEY = SRC_TBL.COUNTRY_KEY,
    TARGET_TBL.DEATH_DATE = SRC_TBL.DEATH_DATE,
    TARGET_TBL.DIC = SRC_TBL.DIC,
    TARGET_TBL.FAMILY_NAME = SRC_TBL.FAMILY_NAME,
    TARGET_TBL.FIRST_NAME = SRC_TBL.FIRST_NAME,
    TARGET_TBL.GENDER_KEY = SRC_TBL.GENDER_KEY,
    TARGET_TBL.ICO = SRC_TBL.ICO,
    TARGET_TBL.RC = SRC_TBL.RC,
    TARGET_TBL.SHORT_NAME = SRC_TBL.SHORT_NAME,
    TARGET_TBL.SRC_ID = SRC_TBL.SRC_ID
  when not matched then insert (
    TARGET_TBL.PARTY_KEY,
    TARGET_TBL.SRC_SYS_ID,
    TARGET_TBL.BIRTH_DATE,
    TARGET_TBL.BIRTH_NAME,
    TARGET_TBL.BIRTH_PLACE,
    TARGET_TBL.BUS_NAME,
    TARGET_TBL.CUST_NO,
    TARGET_TBL.COUNTRY_KEY,
    TARGET_TBL.DEATH_DATE,
    TARGET_TBL.DIC,
    TARGET_TBL.FAMILY_NAME,
    TARGET_TBL.FIRST_NAME,
    TARGET_TBL.GENDER_KEY,
    TARGET_TBL.ICO,
    TARGET_TBL.RC,
    TARGET_TBL.SHORT_NAME,
    TARGET_TBL.SRC_ID,
    TARGET_TBL.VALID_FROM,
    TARGET_TBL.VALID_TO
    ) values (
    SRC_TBL.PARTY_KEY,
    SRC_TBL.SRC_SYS_ID,
    SRC_TBL.BIRTH_DATE,
    SRC_TBL.BIRTH_NAME,
    SRC_TBL.BIRTH_PLACE,
    SRC_TBL.BUS_NAME,
    SRC_TBL.CUST_NO,
    SRC_TBL.COUNTRY_KEY,
    SRC_TBL.DEATH_DATE,
    SRC_TBL.DIC,
    SRC_TBL.FAMILY_NAME,
    SRC_TBL.FIRST_NAME,
    SRC_TBL.GENDER_KEY,
    SRC_TBL.ICO,
    SRC_TBL.RC,
    SRC_TBL.SHORT_NAME,
    SRC_TBL.SRC_ID,
    P_CURRENT_DATE, --VALID_FROM
    C_FUTURE_DATE --VALID_TO 
    )
"
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/1 PARTY_KEY","1 PARTY_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/10 DIC","10 DIC","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/11 FAMILY_NAME","11 FAMILY_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/12 FIRST_NAME","12 FIRST_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/13 GENDER_KEY","13 GENDER_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/14 ICO","14 ICO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/15 RC","15 RC","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/16 SHORT_NAME","16 SHORT_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/17 SRC_ID","17 SRC_ID","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/18 VALID_FROM","18 VALID_FROM","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/19 VALID_TO","19 VALID_TO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/2 SRC_SYS_ID","2 SRC_SYS_ID","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/3 BIRTH_DATE","3 BIRTH_DATE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/4 BIRTH_NAME","4 BIRTH_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/5 BIRTH_PLACE","5 BIRTH_PLACE","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/6 BUS_NAME","6 BUS_NAME","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/7 CUST_NO","7 CUST_NO","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/8 COUNTRY_KEY","8 COUNTRY_KEY","",""
"com.getmanta.edc.Column","DWH/Packages/HISTORIZATION/Procedures/HIST_PARTY/<72,7>MERGE INSERT/9 DEATH_DATE","9 DEATH_DATE","",""
"com.getmanta.edc.Package","DWH/Packages/IMPORT_CRM","IMPORT_CRM","",""
"com.getmanta.edc.Group","DWH/Packages/IMPORT_CRM/Procedures","Procedures","",""
"com.getmanta.edc.Procedure","DWH/Packages/IMPORT_CRM/Procedures/IMPORT","IMPORT","",""
